span	freq	ascii_variant	contexts
Arittha Formerly-of-the-Vulture-Killers	14	Arittha Formerly-of-the-Vulture-Killers	int (ditthigata) had arisen in the monk Arittha Formerly-of-the-Vulture-Killers : "As I understand the Dhamma taught by | icious viewpoint has arisen in the monk Arittha Formerly-of-the-Vulture-Killers: 'As I understand the Dhamma taught by | bstructions.'" So they went to the monk Arittha Formerly-of-the-Vulture-Killers and on arrival said to him, "Is it true
I'm	14	I'm	flash and, on seeing me, screamed out: 'I'm done for! | e!' When this was said, I said to her, 'I'm no demon, sister. | ality, salutation, & polite services." "I'm not asking about the present life, lord
Moggallana	14	Moggallana	"Monks, follow Sariputta and Moggallana; associate with Sariputta and Moggallan | oggallana; associate with Sariputta and Moggallana. | Monks, Sariputta is like unto a mother, Moggallana is like unto a foster-mother to a child
Not	14	Not	"I thought: 'Not only does Alara Kalama have conviction, | "I thought: 'Not only did Rama have conviction, persiste | (of result of kammas) is felt at all." "Not so, friend Potaliputta, do not say thus
Note	14	Note	minated by the paths of sanctitude (see Note 4 ). | efuge from this day forward, for life." Note 1 . | ial form, the same as for the postures (Note 10); for feeling, the same as for the c
One Well-gone	14	One Well-gone	[3] Indeed, it seems that the One Well-gone speaks to us of the relinquishing of ea | ssed One has us abandon; even those the One Well-gone has us relinquish!' But, considering ou | essed One has us abandon; even that the One Well-gone has us relinquish!
Saying	14	Saying	ved at this true Dhamma." Aging & death Saying "Good, friend," having delighted in and | d at this true Dhamma." Six sense media Saying "Good, friend," having delighted in and | rived at this true Dhamma." Name-&-form Saying "Good, friend," having delighted in and
Then King Yama	14	Then King Yama	t your majesty decree his punishment.' "Then King Yama interrogates & interpellates & castigat | I was heedless, lord.' Then King Yama says, 'My good man, through heedlessnes | "Then King Yama says, 'My good man, didn't you see amon
Vinaya	14	Vinaya	ance with the goal, the Dhamma, and the Vinaya. | rdance with the goal, the Dhamma, & the Vinaya, words that are not worth treasuring. | rdance with the goal, the Dhamma, & the Vinaya.
Alara Kalama	13	Alara Kalama	elled state of sublime peace, I went to Alara Kalama and, on arrival, said to him: 'Friend K | sn't through mere conviction alone that Alara Kalama declares, "I have entered & dwell in th | "I thought: 'Not only does Alara Kalama have conviction, persistence, mindfulne
Community	13	Community	a for refuge, to the Dhamma, and to the Community of monks. | a for refuge, to the Dhamma, and to the Community of monks. | e for refuge, to the Dhamma, and to the Community of monks.
Discipline	13	Discipline	illers even warm [3] in this Doctrine & Discipline?" "How could he be, lord? | d the full admission in this Dhamma and Discipline lives on probation for four months. | d the full admission in this Dhamma and Discipline live on probation for four months and a
Infinite	13	Infinite	erceptions of diversity, (perceiving,) 'Infinite space,' he enters & remains in the dime | the infinitude of space, (perceiving,) 'Infinite consciousness,' he enters & remains in | erceptions of diversity, [perceiving,] 'Infinite space,' enters & remains in the dimensi
Isipatana	13	Isipatana	ssed One was living in the Deer Park at Isipatana (the Resort of Saints) near Varanasi (B | ly Enlightened One, in the Deer Park at Isipatana near Varanasi, cannot be set in motion | ly Enlightened One, in the Deer Park at Isipatana near Varanasi, cannot be set in motion
Knowing	13	Knowing	"Knowing, monks, covetousness and unrighteous gr | [4] Knowing ill will to be a defilement of the mind | "Knowing covetousness and unrighteous greed to b
Perhaps	13	Perhaps	life into homelessness, (thinking,) '...Perhaps the end of this entire mass of stress m | life into homelessness, (thinking,) '...Perhaps the end of this entire mass of stress m | life into homelessness, [thinking,] '...Perhaps the end of this entire mass of stress m
Vaccha	13	Vaccha	ed from each of these ten positions?" " Vaccha , the position that 'the cosmos is eter | ve any position at all?" "A 'position,' Vaccha, is something that a Tathagata has done | : Where does he reappear?" "'Reappear,' Vaccha, doesn't apply." "In that case, Master
Answering	12	Answering	ns & contemplatives down by the head.' "Answering in this way when thus asked, lord, am I | ce in Saketa by means of this chariot?' Answering in what way, my friend, would King Pase | asenadi Kosala answer them correctly?" "Answering in this way, my friend, he would answer
Dummukha	12	Dummukha	occurred to me." "Let it occur to you, Dummukha," the Blessed One said. | said, Saccaka the Nigaṇṭha-son said to Dummukha the Licchavi-son, "Just you wait, Dummu | mukha the Licchavi-son, "Just you wait, Dummukha.
Ganges	12	Ganges	were to go along the right bank of the Ganges, killing and getting others to kill, mu | e were to go along the left bank of the Ganges, giving and getting others to give, mak | were to go along the right bank of the Ganges, killing and getting others to kill, mu
Sakyans	12	Sakyans	tama the contemplative — the son of the Sakyans, having gone forth from the Sakyan clan | tama the contemplative — the son of the Sakyans, having gone forth from the Sakyan clan | n the Blessed One was staying among the Sakyans .
Therefore	12	Therefore	[6] "Therefore, monks, when you understand the meaning | t has already been comprehended.' [15] "Therefore, monks, if others insult, abuse, taunt, | s that has already been comprehended.' "Therefore, monks, whatever isn't yours: Let go of
Varanasi	12	Varanasi	t Isipatana (the Resort of Saints) near Varanasi (Benares). | One, in the Deer Park at Isipatana near Varanasi, cannot be set in motion by a recluse o | One, in the Deer Park at Isipatana near Varanasi, cannot be set in motion by a recluse..
Where	12	Where	, the monk whose mind is thus released: Where does he reappear?" "'Reappear,' Vaccha, | was sitting there he said to the monk, "Where is Ven. | from the soil, the natural question is: Where do the roots of skillful and unskillful
Aciravata	11	Aciravata	Now at that time the novice Aciravata was staying in the Forest Hut. | ng about on foot, approached the novice Aciravata; having approached he exchanged greetin | he exchanged greetings with the novice Aciravata; having exchanged greetings of friendli
Apart	11	Apart	f dependently co-arisen consciousness, 'Apart from a requisite condition, there is no | f dependently co-arisen consciousness, 'Apart from a requisite condition, there is no | f dependently co-arisen consciousness, 'Apart from a requisite condition, there is no
Assaji	11	Assaji	Now at that time the monks led by Assaji & Punabbasu [2] were residing in Kitagi | ." When this was said, the monks led by Assaji & Punabbasu said to those monks, "Frien | ere unable to convince the monks led by Assaji & Punabbasu, those monks went to the Bl
Baka	11	Baka	utta, the Buddha faces two antagonists: Baka, a brahma who believes that his brahma- | ere is; and Mara, who wants (1) to keep Baka under his power by allowing Baka to mai | o keep Baka under his power by allowing Baka to maintain his deluded opinion, and (2
Brahmas	11	Brahmas	en the devas, together with Indra , the Brahmas , & Pajapati , search for the monk whos | the brahman the path to union with the Brahmas?" [So he said:] "Dhanañjanin, I will te | ll teach you the path to union with the Brahmas.
Can	11	Can	, 'Friend Niganthas, what do you think: Can an action to be experienced in the here | d in the future life?' "'No, friend.' "'Can an action to be experienced in the futu | ow?' "'No, friend.' "What do you think: Can an action to be experienced as pleasure
Conqueror	11	Conqueror	the Conqueror as the Conqueror [2] ... | the Conqueror as the Conqueror [2] ... | the Conqueror as the Conqueror...
Craving	11	Craving	If anyone were to say, 'Craving is the self,' that wouldn't be tenable. | dn't be tenable if anyone were to say, 'Craving is the self.' Thus the eye is not-self, | If anyone were to say, 'Craving is the self,' that wouldn't be tenable.
Develop	11	Develop	"Develop the meditation in tune with water. | "Develop the meditation in tune with fire. | "Develop the meditation in tune with wind.
Do	11	Do	Thereupon he said this: "Do you, monks, see this Vebhara mountain?" | aṭṭhaputta , & the Nigaṇṭha Nāṭaputta : Do they all have direct knowledge as they | esent, uncertainty arises in him thus: 'Do I exist?
Four Noble Truths	11	Four Noble Truths	This application of the formula of the Four Noble Truths to the defilements deserves close atten | t-wisdom (vipassana), he thus knows the Four Noble Truths in these four ways (i.e., 'what exists, | tal object in the mental objects of the Four Noble Truths.
Great	11	Great	anions, relatives & kin would ask him, 'Great king, did you come from Savatthi to the | ld have grounds for criticizing them?" "Great king, those who say that are not speaki | ecall having said [such] a statement?" "Great king, I recall having said, 'It is not
Mallika	11	Mallika	enadi Kosala addressed Queen Mallika , "Mallika, your contemplative, Gotama, has said t | ter what Gotama the contemplative says, Mallika endorses it: 'If that was said by the B | ter what Gotama the contemplative says, Mallika endorses it: 'If that was said by the B
Once	11	Once	Thus have I heard: Once the Bhagāva [1] was staying at the Jeta | "Once, monks, in this same Savatthi , there w | "Once, Ven.
Our	11	Our	the abandonment; somanassa-maya ñana)." Our rendering of attha (Skt.: artha) b; "go | ny event, you should train yourselves: 'Our minds will be unaffected and we will sa | ny event, you should train yourselves: 'Our minds will be unaffected and we will sa
Pajapati	11	Pajapati	, together with Indra , the Brahmas , & Pajapati , search for the monk whose mind is thu | Pajapati as Pajapati... | Pajapati as Pajapati...
Self	11	Self	ters disappear, namely, the illusion of Self, [20] uncertainty [21] and belief in th | Sakkāyadiṭṭhi: illusion of Self in regard to the manifestation of one's | is mine", "This is I", and "This is my Self".
Sub-Comy	11	Sub-Comy	the 'seed of wisdom' ( paññaa-biijaa ; Sub-Comy) to the maturity required for attaining | eptions and thoughts of sense-desire)." Sub-Comy says that also other physical acts expr | eaning of "insight" or "comprehension" (Sub-Comy: nijjhaana-pañña-kkhamaa na honti ).
